Gene,p_value,effect_size
MEGF6,0.2532216680913867,0.43385110304652535
MEGF8,0.8026353397204855,0.09379874186060104
MEI1,0.13630255467303568,0.5706023561505067
MEIG1,0.6102340305855916,0.19165484045793524
MEIKIN,0.826486565682508,0.08225570745106553
MEIOC,0.5614573401585143,0.21848597610590312
MEIOSIN,0.7998188857454058,0.09516776998800028
MEIS1,0.24816771522238137,0.4386204807562198
MEIS1-AS2,0.5964315811986158,0.19913780168133363
MEIS1-AS3,0.18456301123902263,0.5060052494160797
MEIS2,0.6401572115553431,0.1756971792842402
MEIS3,0.17721519322241847,0.5148977058221192
MEIS3P1,0.36096142936564846,0.3453435720903591
MELK,0.41148959870639645,0.3099976324223054
MELTF,0.5033432104201231,0.2520706038544502
MELTF-AS1,0.2765716734201427,0.4126784454182268
MEMO1,0.04288260323866572,0.7896919852809758
MEOX1,0.9732166167970923,0.01259276913134695
MEP1B,0.20646060583682363,0.481045154228335
MERTK,0.20038399046107502,0.487757914995876
MESP1,0.25982645735955373,0.42772259815384445
MESP2,0.3029115001059392,0.39028655221281733
MEST,0.27206922370419706,0.4166571313890333
MESTIT1,0.4222605786867696,0.3028257580590035
MESTP4,0.7576173874784282,0.11585378654191726
METAP1D,0.7359675750086081,0.12660744895240042
METAP2,0.7148212502511366,0.13721773367315315
METRN,0.09143832086085392,0.6504018251128804
METRNL,0.13797116958133232,0.568082441841745
METTL1,0.9810343022387245,0.008916238020783618
METTL16,0.5453531290424054,0.22759984749917692
METTL21A,0.1527432761905713,0.5467893831181698
METTL22,0.6241761587974962,0.1841763097029395
METTL23,0.7821262987852862,0.10379929850108813
METTL25B,0.1211575702221112,0.5947101580833404
METTL2B,0.5662574506901761,0.21579551750596976
MEX3A,0.06594527033110444,0.7121879062841527
MEX3D,0.7282243207619439,0.13047984644982882
MFAP1,0.5395960683087162,0.23089193518304968
MFAP1P1,0.643573067091084,0.17389710510715406
MFAP2,0.25979972893670045,0.4277471678329591
MFAP4,0.38556034109842185,0.3277625328396905
MFF,0.45210159483464396,0.2835252591038656
