Gene,p_value,effect_size
AJAP1,0.08472204560508317,0.6891125965127447
AJM1,0.615737058040257,0.05378502448355852
AJUBA,0.9478034802354203,0.058399497206770117
AK1,0.37095103453309664,0.3052709143340226
AK2,0.615737058040257,0.11231699131986124
AK3P2,0.15606926343164354,0.5194741068319464
AK3P3,0.5557349624423149,0.2584894468983792
AK3P6,0.4194324996066613,0.26538549007413437
AK3P7,0.5557349624423149,0.047218234512606753
AK4P3,0.8443001476220315,0.017611151685631463
AK5,0.445008718746736,0.43406245521285575
AK7,0.5557349624423149,0.3604264853233207
AKAP1,0.05763082091624818,0.7392955117793443
AKAP10,0.6467674040054682,0.21499135306605252
AKAP12,0.10170693003109327,0.6354944877548115
AKAP13,0.9478034802354203,0.2311846683919608
AKAP14,0.615737058040257,0.10028840819519638
AKAP17A,0.5268434347302196,0.20541047593703576
AKAP8,0.3261094520204889,0.35757731387624214
AKAP8L,0.4714517068389269,0.2857118621947603
AKAP9,0.3480712878701422,0.41469561035215186
AKIRIN1P2,0.6467674040054682,0.1991094401886331
AKIRIN2,0.24745429076477554,0.3752502428877439
AKIRIN2P1,0.5268434347302196,0.17855523467393822
AKNA,0.8785934392551416,0.09611974670824872
AKNAD1,0.8443001476220315,0.06521242128117125
AKR1A1,0.5268434347302196,0.22520036058157783
AKR1B1,0.0771336684412056,0.6939892336984038
AKR1B10P2,0.6784245040488326,0.3180298222176292
AKR1B15,0.23006229802639666,0.3754191104526618
AKR1C3,0.5557349624423149,0.2634516846927324
AKR1C7P,0.08472204560508317,0.6489100704444479
